 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-2.0,3.8813e-10,8.9945e-10,1.1371e-09,1.213e-09,-1.9900000000000002e-12,2.29e-12,1
-1.985,3.9191000000000005e-10,9.4821e-10,1.1562e-09,1.2347e-09,-1.4400000000000001e-12,1.4400000000000001e-12,1
-1.97,3.9169e-10,9.2881e-10,1.1751e-09,1.2627e-09,-1.02e-12,1.7500000000000002e-12,1
-1.955,4.0075e-10,9.5459e-10,1.2007e-09,1.247e-09,-4e-12,6.700000000000002e-13,1
-1.94,4.1638e-10,9.968e-10,1.2584e-09,1.3013e-09,-1.3e-13,1.32e-12,1
-1.925,4.2749e-10,1.0231e-09,1.2535e-09,1.3323e-09,-2.1000000000000003e-12,4.17e-12,1
-1.91,4.3937000000000006e-10,1.0308e-09,1.2768e-09,1.3471e-09,-1.21e-12,1.1500000000000001e-12,1
-1.895,4.4914e-10,1.063e-09,1.2945e-09,1.3596e-09,-4.1e-13,2.0700000000000007e-12,1
-1.88,4.6129e-10,1.0738e-09,1.3175e-09,1.4116e-09,-3.9e-12,1.5000000000000004e-13,1
-1.865,4.729800000000001e-10,1.1018e-09,1.357e-09,1.4444e-09,-5.2e-13,2e-12,1
-1.85,4.8211e-10,1.1299e-09,1.3944e-09,1.4629e-09,-1.8200000000000003e-12,4.28e-12,1
-1.835,4.9436e-10,1.1639e-09,1.4272e-09,1.4938e-09,-1.04e-12,1.13e-12,1
-1.82,5.046100000000001e-10,1.198e-09,1.4729e-09,1.5193e-09,-2.4000000000000004e-13,1.96e-12,1
-1.805,5.2635e-10,1.2388e-09,1.506e-09,1.558e-09,-3.65e-12,3.1000000000000004e-13,1
-1.79,5.3031e-10,1.2522e-09,1.5401e-09,1.5889e-09,-3.3e-13,2.7800000000000007e-12,1
-1.775,5.387800000000001e-10,1.2687e-09,1.5813e-09,1.6259e-09,-1.85e-12,4.41e-12,1
-1.76,5.536300000000001e-10,1.2849e-09,1.5946e-09,1.6445e-09,-1.2500000000000001e-12,1.7000000000000002e-12,1
-1.745,5.7141e-10,1.2992e-09,1.6127e-09,1.6946e-09,6.6e-13,-7e-14,1
-1.73,6.0309e-10,1.3359e-09,1.6828e-09,1.7355e-09,-3.2400000000000007e-12,5.4e-13,1
-1.715,5.9483e-10,1.3825e-09,1.6984e-09,1.7824e-09,-5.800000000000002e-13,2.0700000000000007e-12,1
-1.7000000000000002,5.987200000000001e-10,1.4028e-09,1.7383e-09,1.8013e-09,-1.5800000000000001e-12,5.010000000000001e-12,1
-1.685,6.029400000000001e-10,1.4237e-09,1.776e-09,1.8456e-09,-1.37e-12,8.500000000000002e-13,1
-1.6700000000000002,6.400000000000001e-10,1.4551e-09,1.8136e-09,1.9152e-09,7.800000000000002e-13,5.300000000000002e-13,1
-1.655,6.7061e-10,1.4753e-09,1.851e-09,1.9241e-09,-2.8600000000000003e-12,8.400000000000001e-13,1
-1.64,6.846200000000001e-10,1.5197e-09,1.8827e-09,1.9479e-09,-4.2000000000000003e-13,2.08e-12,1
-1.625,6.9826e-10,1.5748e-09,1.932e-09,1.9614e-09,-1.26e-12,3.9400000000000006e-12,1
-1.61,7.1518e-10,1.6264e-09,1.9615e-09,2.0347e-09,-2.4500000000000007e-12,1.1000000000000001e-13,1
-1.595,7.2457e-10,1.6613e-09,2.0051e-09,2.1117e-09,7.5e-13,1.6100000000000002e-12,1
-1.58,7.5841e-10,1.7446e-09,2.0664e-09,2.1608e-09,-2.3300000000000004e-12,1.91e-12,1
-1.5650000000000002,7.675600000000001e-10,1.7553e-09,2.147e-09,2.2194e-09,-8.300000000000001e-13,3.2200000000000004e-12,1
-1.55,7.9453e-10,1.8263e-09,2.1601e-09,2.269e-09,-1.1500000000000001e-12,3.5000000000000004e-12,1
-1.535,8.3084e-10,1.8169e-09,2.2537e-09,2.2885e-09,-3.3400000000000007e-12,2.4000000000000004e-13,1
-1.52,8.3479e-10,1.8612e-09,2.232e-09,2.3674e-09,2.8e-13,2.900000000000001e-13,1
-1.505,8.5852e-10,1.9906e-09,2.3393e-09,2.4237e-09,-1.65e-12,1.8700000000000003e-12,1
-1.49,8.6464e-10,1.9633e-09,2.3756e-09,2.5217e-09,-6.6e-13,1.04e-12,1
-1.475,8.8754e-10,2.0718e-09,2.3993e-09,2.5307e-09,-4e-13,2.36e-12,1
-1.46,9.049799999999999e-10,2.0857e-09,2.5044e-09,2.5807e-09,-3.2900000000000007e-12,-7.400000000000001e-13,1
-1.445,9.0368e-10,2.1427e-09,2.5736e-09,2.6644e-09,-4.0000000000000006e-14,2.31e-12,1
-1.4300000000000002,9.43e-10,2.201e-09,2.6002e-09,2.8181e-09,-1.2900000000000002e-12,3.38e-12,1
-1.415,9.7212e-10,2.2253e-09,2.6508e-09,2.8565e-09,-8.400000000000001e-13,7.900000000000001e-13,1
-1.4,1.0119e-09,2.2332e-09,2.7344e-09,2.8965e-09,-2.46e-12,9.600000000000002e-13,1
-1.385,1.0214e-09,2.3491e-09,2.8239e-09,2.9642e-09,-2.300000000000001e-13,1.3400000000000003e-12,1
-1.37,1.0293e-09,2.4047e-09,2.8853e-09,3.0395e-09,-1.21e-12,4.48e-12,1
-1.355,1.0529e-09,2.468e-09,2.9821e-09,3.0969e-09,-1.03e-12,1.2400000000000002e-12,1
-1.34,1.095e-09,2.5374e-09,3.0661e-09,3.1641e-09,3.5e-13,4.500000000000001e-13,1
-1.325,1.125e-09,2.5481e-09,3.1584e-09,3.2607e-09,-3.2400000000000007e-12,-6.000000000000001e-14,1
-1.31,1.1604e-09,2.6753e-09,3.2645e-09,3.3381e-09,7.700000000000001e-13,5.7e-13,1
-1.2950000000000002,1.1912e-09,2.7484e-09,3.2835e-09,3.4241e-09,-1.79e-12,1.8400000000000002e-12,1
-1.28,1.2444e-09,2.7644e-09,3.3278e-09,3.5184999999999998e-09,-5.7e-13,2.6500000000000002e-12,1
-1.265,1.2803e-09,2.838e-09,3.4671e-09,3.6836e-09,-9.5e-13,4.88e-12,1
-1.25,1.2989e-09,2.9481e-09,3.5141e-09,3.6569e-09,-8.600000000000001e-13,1.3400000000000003e-12,1
-1.235,1.2996e-09,3.1189e-09,3.6275e-09,3.7493e-09,3.0000000000000005e-14,9.600000000000002e-13,1
-1.22,1.3721e-09,3.1424e-09,3.7115e-09,3.9155e-09,-3.66e-12,-1.21e-12,1
-1.205,1.4044e-09,3.2676999999999998e-09,3.8046e-09,3.9914e-09,8.300000000000001e-13,1e-12,1
-1.19,1.4581e-09,3.277e-09,3.9271e-09,4.0345e-09,-1.4e-12,1.8900000000000002e-12,1
-1.175,1.4677e-09,3.4194e-09,4.0638999999999996e-09,4.1259e-09,-4.9e-13,2e-12,1
-1.16,1.5453e-09,3.5456e-09,4.1165e-09,4.2605e-09,-1.02e-12,3.48e-12,1
-1.145,1.5475e-09,3.5394e-09,4.2221e-09,4.3415e-09,-1.14e-12,-2.2000000000000002e-13,1
-1.13,1.6033e-09,3.6788e-09,4.295e-09,4.5648e-09,4.9e-13,2.8e-13,1
-1.115,1.6592e-09,3.8451e-09,4.4699e-09,4.7363e-09,-3.1400000000000004e-12,-1.5000000000000004e-13,1
-1.1,1.7128e-09,3.9235e-09,4.5808e-09,4.872e-09,5.500000000000001e-13,2.14e-12,1
-1.085,1.7729e-09,4.0089e-09,4.7218999999999996e-09,5.0445e-09,-1.2500000000000001e-12,2.24e-12,1
-1.07,1.8393e-09,4.1542e-09,4.7902e-09,5.0485e-09,-1.8000000000000004e-13,1.5800000000000001e-12,1
-1.0550000000000002,1.9119e-09,4.3228e-09,5.053e-09,5.2171e-09,-8.9e-13,4.28e-12,1
-1.04,1.9816e-09,4.4701e-09,5.2641e-09,5.4456e-09,-1.08e-12,-1.4e-13,1
-1.025,2.0358e-09,4.4527e-09,5.4357e-09,5.5549e-09,7.800000000000002e-13,1e-12,1
-1.01,2.0876e-09,4.5809e-09,5.5362e-09,5.7484e-09,-3.02e-12,-6.700000000000002e-13,1
