 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-2.0,3.4115e-10,8.9813e-10,1.1108e-09,1.3213e-09,3.3e-13,2.41e-12,0.5
-1.985,3.4447e-10,9.1442e-10,1.1325e-09,1.377e-09,-3.15e-12,2.67e-12,0.5
-1.97,3.5147000000000003e-10,9.1927e-10,1.1656e-09,1.3838e-09,-9.100000000000002e-13,1.4700000000000002e-12,0.5
-1.955,3.535e-10,9.4414e-10,1.1664e-09,1.421e-09,-1.6e-12,3.2200000000000004e-12,0.5
-1.94,3.6633e-10,1e-09,1.2038e-09,1.4334e-09,-3.48e-12,-1.6000000000000005e-13,0.5
-1.925,3.5651000000000004e-10,1.0006e-09,1.246e-09,1.4636e-09,1e-13,1.4400000000000001e-12,0.5
-1.91,3.7421e-10,9.993e-10,1.2763e-09,1.4788e-09,-2.82e-12,3.5000000000000004e-12,0.5
-1.895,3.8188e-10,1.0253e-09,1.2927e-09,1.5301e-09,-1.0100000000000001e-12,1.7000000000000002e-12,0.5
-1.88,3.8282e-10,1.0323e-09,1.3174e-09,1.5888e-09,-5.7e-13,1.69e-12,0.5
-1.865,3.9712e-10,1.0327e-09,1.3303e-09,1.582e-09,-3.840000000000001e-12,-3.7000000000000004e-13,0.5
-1.85,4.1452e-10,1.071e-09,1.355e-09,1.6248e-09,-3.4e-13,1.3500000000000001e-12,0.5
-1.835,4.2655e-10,1.0808e-09,1.3804e-09,1.6562e-09,-2.77e-12,4.79e-12,0.5
-1.82,4.2537000000000005e-10,1.1076e-09,1.4548e-09,1.7012e-09,-7.600000000000002e-13,1.3500000000000001e-12,0.5
-1.805,4.4196e-10,1.1158e-09,1.4745e-09,1.6783e-09,-9e-14,1.26e-12,0.5
-1.79,4.5211000000000005e-10,1.1457e-09,1.5035e-09,1.7405e-09,-3.65e-12,-6.700000000000002e-13,0.5
-1.775,4.5852e-10,1.1888e-09,1.5424e-09,1.741e-09,-6.000000000000002e-13,2.44e-12,0.5
-1.76,4.6383e-10,1.2344e-09,1.5666e-09,1.785e-09,-2.59e-12,4.610000000000001e-12,0.5
-1.745,4.9213e-10,1.2625e-09,1.6021e-09,1.8479e-09,-3.7000000000000004e-13,1.4400000000000001e-12,0.5
-1.73,4.9883e-10,1.2781e-09,1.6576e-09,1.8941e-09,3.900000000000001e-13,5.500000000000001e-13,0.5
-1.715,5.1327e-10,1.3096e-09,1.6751e-09,1.9623e-09,-3.5200000000000003e-12,-5.7e-13,0.5
-1.7000000000000002,5.1162e-10,1.3323e-09,1.7007e-09,2.0068e-09,-4.3000000000000004e-13,3.2900000000000007e-12,0.5
-1.685,5.361500000000001e-10,1.3908e-09,1.7568e-09,2.0028e-09,-2.64e-12,5.420000000000001e-12,0.5
-1.6700000000000002,5.4275e-10,1.3737e-09,1.7836e-09,2.0703e-09,-5.6e-13,1.3000000000000001e-12,0.5
-1.655,5.5814e-10,1.4548e-09,1.7827e-09,2.1173e-09,6.8e-13,-8.9e-13,0.5
-1.64,5.7352e-10,1.4877e-09,1.9011e-09,2.1354e-09,-3.5700000000000007e-12,1.6000000000000005e-13,0.5
-1.625,5.885000000000001e-10,1.5227e-09,1.9132e-09,2.2509e-09,-7.100000000000001e-13,1.9900000000000002e-12,0.5
-1.61,5.9246e-10,1.5733e-09,1.9698e-09,2.2841e-09,-2.23e-12,5.34e-12,0.5
-1.595,6.1473e-10,1.6142999999999999e-09,2.0447e-09,2.3486e-09,-1.4900000000000001e-12,5.7e-13,0.5
-1.58,6.1779e-10,1.6017e-09,2.0857e-09,2.3868e-09,1.2400000000000002e-12,4.600000000000002e-13,0.5
-1.5650000000000002,6.4196e-10,1.6417e-09,2.1225e-09,2.4461e-09,-3.0800000000000002e-12,9.700000000000001e-13,0.5
-1.55,6.521000000000001e-10,1.6863e-09,2.1623e-09,2.5355e-09,-8.9e-13,2e-12,0.5
-1.535,6.7882e-10,1.7511e-09,2.2557e-09,2.603e-09,-2.09e-12,4.18e-12,0.5
-1.52,7.097e-10,1.7992e-09,2.2916e-09,2.6495e-09,-1.6200000000000004e-12,-3.2000000000000005e-13,0.5
-1.505,7.3273e-10,1.8245e-09,2.3564e-09,2.7095e-09,1.08e-12,1.08e-12,0.5
-1.49,7.5946e-10,1.8354e-09,2.3634e-09,2.8317e-09,-2.8300000000000007e-12,2.6600000000000004e-12,0.5
-1.475,7.6839e-10,1.8971e-09,2.4445e-09,2.8543e-09,-8.800000000000002e-13,2.69e-12,0.5
-1.46,8.0321e-10,1.9595e-09,2.5132e-09,2.9333e-09,-1.5400000000000001e-12,2.8300000000000007e-12,0.5
-1.445,8.232000000000001e-10,2.0105e-09,2.561e-09,3.0487e-09,-2.8300000000000007e-12,1.1000000000000001e-13,0.5
-1.4300000000000002,8.5713e-10,2.0381e-09,2.6277e-09,3.1071e-09,7.3e-13,4.3000000000000004e-13,0.5
-1.415,8.7249e-10,2.0936e-09,2.6793e-09,3.2299e-09,-2.6500000000000002e-12,3.0400000000000004e-12,0.5
-1.4,9.1555e-10,2.1892e-09,2.7801e-09,3.2725e-09,-7.200000000000002e-13,9.4e-13,0.5
