 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-2.0,4.953e-10,1.0278e-09,1.1254e-09,1.1616e-09,-8.400000000000001e-13,3.95e-12,0.5
-1.985,5.0453e-10,1.0229e-09,1.1555e-09,1.1718e-09,-3.3700000000000004e-12,5.060000000000001e-12,0.5
-1.97,5.0078e-10,1.0544e-09,1.1754e-09,1.182e-09,-1.3900000000000001e-12,1.22e-12,0.5
-1.955,5.0836e-10,1.0666e-09,1.1906e-09,1.1954e-09,-1.9000000000000002e-13,4.9e-13,0.5
-1.94,5.1878e-10,1.0791e-09,1.2056e-09,1.2145e-09,-4.13e-12,1.4400000000000001e-12,0.5
-1.925,5.1961e-10,1.085e-09,1.2053e-09,1.2198e-09,-1.32e-12,3.13e-12,0.5
-1.91,5.278600000000001e-10,1.1055e-09,1.2345e-09,1.2465e-09,-3.0800000000000002e-12,5.930000000000001e-12,0.5
-1.895,5.3142e-10,1.1274e-09,1.2446e-09,1.2555e-09,-1.3900000000000001e-12,9e-14,0.5
-1.88,5.393100000000001e-10,1.1322e-09,1.2666e-09,1.2878e-09,4.800000000000001e-13,8.400000000000001e-13,0.5
-1.865,5.560400000000001e-10,1.1514e-09,1.2766e-09,1.3047e-09,-3.9800000000000004e-12,5.800000000000002e-13,0.5
-1.85,5.5444e-10,1.1709e-09,1.2915e-09,1.3269e-09,-1.65e-12,2.69e-12,0.5
-1.835,5.6066e-10,1.178e-09,1.3077e-09,1.3353e-09,-2.41e-12,4.88e-12,0.5
-1.82,5.734700000000001e-10,1.2034e-09,1.35e-09,1.361e-09,-1.5400000000000001e-12,7.800000000000002e-13,0.5
-1.805,5.775900000000001e-10,1.2134e-09,1.344e-09,1.4043e-09,6.000000000000002e-13,1.3300000000000002e-12,0.5
-1.79,6.013600000000001e-10,1.2488999999999999e-09,1.361e-09,1.3936e-09,-3.85e-12,2.0700000000000007e-12,0.5
-1.775,5.988900000000001e-10,1.2503e-09,1.3948e-09,1.4277e-09,-1.1600000000000001e-12,2.95e-12,0.5
-1.76,6.1389e-10,1.2771e-09,1.4257e-09,1.4305e-09,-2.51e-12,4.6900000000000004e-12,0.5
