 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-2.0,6.629000000000001e-10,1.2998e-09,1.5236e-09,1.614e-09,-1.46e-12,3.95e-12,0.5
-1.985,6.665200000000001e-10,1.3438e-09,1.5639e-09,1.6442e-09,-9.100000000000002e-13,6.200000000000001e-13,0.5
-1.97,7.019900000000001e-10,1.3689e-09,1.5835e-09,1.7144e-09,-3.97e-12,-2.0500000000000004e-12,0.5
-1.955,7.234000000000001e-10,1.4009e-09,1.6315e-09,1.7424e-09,-1.5300000000000001e-12,2.08e-12,0.5
-1.94,7.3364e-10,1.4337e-09,1.6756e-09,1.756e-09,-1.91e-12,6.280000000000001e-12,0.5
-1.925,7.5126e-10,1.4481e-09,1.7104e-09,1.7992e-09,-1.07e-12,3.48e-12,0.5
-1.91,7.7596e-10,1.4638e-09,1.7525e-09,1.8446e-09,-3.5e-13,-2.1000000000000001e-13,0.5
-1.895,7.8527e-10,1.5364e-09,1.8013e-09,1.866e-09,-3.66e-12,-1.04e-12,0.5
-1.88,7.952600000000001e-10,1.5679e-09,1.8548e-09,1.9333e-09,-1.2500000000000001e-12,2.2000000000000003e-12,0.5
-1.865,8.1679e-10,1.5928e-09,1.9053e-09,1.9636e-09,-1.6200000000000004e-12,6.6e-12,0.5
-1.85,8.4399e-10,1.6367e-09,1.972e-09,2.0184e-09,-1.37e-12,2.19e-12,0.5
-1.835,8.5578e-10,1.6839e-09,1.9852e-09,2.0847e-09,-4.500000000000001e-13,-1.1500000000000001e-12,0.5
-1.82,8.8671e-10,1.7003e-09,2.0309e-09,2.1268e-09,-3.0800000000000002e-12,-1.4e-13,0.5
-1.805,9.0802e-10,1.75e-09,2.0908e-09,2.1966e-09,-1.12e-12,4.16e-12,0.5
-1.79,9.2496e-10,1.7815e-09,2.155e-09,2.2234e-09,-1.4900000000000001e-12,6.830000000000001e-12,0.5
-1.775,9.3426e-10,1.8493e-09,2.1743e-09,2.2759e-09,-1.5400000000000001e-12,1.13e-12,0.5
-1.76,9.6399e-10,1.8954e-09,2.2699e-09,2.3573e-09,-1.1000000000000001e-13,-1.3000000000000001e-12,0.5
-1.745,1.0023e-09,1.9257e-09,2.3085e-09,2.4271e-09,-1.03e-12,4.77e-12,0.5
-1.73,1.0059e-09,1.9665e-09,2.3598e-09,2.4541e-09,-2.52e-12,9.600000000000002e-13,0.5
-1.715,1.0245e-09,2.0268e-09,2.4266e-09,2.5022e-09,-4.500000000000001e-13,-1.1500000000000001e-12,0.5
-1.7000000000000002,1.0618e-09,2.0548e-09,2.4439e-09,2.6212e-09,-2.7000000000000002e-12,1.0100000000000001e-12,0.5
-1.685,1.0771e-09,2.1291e-09,2.5285e-09,2.667e-09,-1.1600000000000001e-12,3.8900000000000006e-12,0.5
-1.6700000000000002,1.1068e-09,2.1644e-09,2.5921e-09,2.736e-09,-1.46e-12,6.35e-12,0.5
-1.655,1.116e-09,2.2291e-09,2.6757e-09,2.7709e-09,-1.0100000000000001e-12,3.0300000000000002e-12,0.5
-1.64,1.1378e-09,2.2802e-09,2.7663e-09,2.8369e-09,-5.500000000000001e-13,6.1e-13,0.5
-1.625,1.1782e-09,2.3315e-09,2.8198e-09,2.9631e-09,-3.780000000000001e-12,-1.6e-12,0.5
-1.61,1.2087e-09,2.435e-09,2.881e-09,3.0752e-09,-6.8e-13,-6.700000000000002e-13,0.5
-1.595,1.2286e-09,2.5187e-09,2.9536e-09,3.1636e-09,-2.28e-12,1.88e-12,0.5
-1.58,1.2686e-09,2.5871e-09,3.0294e-09,3.2139e-09,-8.800000000000002e-13,3.1400000000000004e-12,0.5
-1.5650000000000002,1.3047e-09,2.6429e-09,3.1219e-09,3.3072e-09,-1.3500000000000001e-12,7.22e-12,0.5
-1.55,1.3592e-09,2.7051e-09,3.1801e-09,3.3485999999999998e-09,-1.1100000000000001e-12,3.740000000000001e-12,0.5
