 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-2.0,9.2029e-10,1.795e-09,1.9212e-09,2.0127e-09,-1.31e-12,1.6e-12,0.5
-1.985,9.4577e-10,1.8005e-09,1.9209e-09,2.0591e-09,-4.26e-12,-1.46e-12,0.5
-1.97,9.6197e-10,1.8505e-09,1.9615e-09,2.0895e-09,-1.6300000000000001e-12,1.2800000000000002e-12,0.5
-1.955,9.8275e-10,1.8784e-09,2.0136e-09,2.1389e-09,-2.23e-12,5.3000000000000004e-12,0.5
-1.94,1.0118e-09,1.9206e-09,2.0357e-09,2.1762e-09,-8.600000000000001e-13,7e-14,0.5
-1.925,1.0384e-09,1.9523e-09,2.0956e-09,2.1928e-09,-3.9e-12,-2.64e-12,0.5
-1.91,1.0625e-09,2.0048e-09,2.1451e-09,2.2568e-09,-1.3000000000000001e-12,-2.5e-13,0.5
-1.895,1.0821e-09,2.0332e-09,2.1577e-09,2.3057e-09,-2.6300000000000007e-12,3.86e-12,0.5
-1.88,1.0893e-09,2.0554e-09,2.1705e-09,2.3426e-09,-1.41e-12,5.120000000000001e-12,0.5
-1.865,1.1033e-09,2.0984e-09,2.2477e-09,2.4171e-09,-1.98e-12,5.470000000000001e-12,0.5
-1.85,1.1419e-09,2.1632e-09,2.2823e-09,2.4664e-09,-2.2500000000000003e-12,2.01e-12,0.5
-1.835,1.1643e-09,2.1953e-09,2.3279e-09,2.5184e-09,-6.8e-13,-8.400000000000001e-13,0.5
-1.82,1.1856e-09,2.2648e-09,2.3936e-09,2.5478e-09,-3.87e-12,-1.9900000000000002e-12,0.5
-1.805,1.2134e-09,2.2748e-09,2.4596e-09,2.5908e-09,-1.2800000000000002e-12,1.14e-12,0.5
-1.79,1.2392e-09,2.3402e-09,2.501e-09,2.6788e-09,-2.26e-12,4.73e-12,0.5
-1.775,1.2505e-09,2.3769e-09,2.5111e-09,2.711e-09,-1.32e-12,3.95e-12,0.5
-1.76,1.2777e-09,2.4257e-09,2.5809e-09,2.7397e-09,-1.7600000000000002e-12,5.810000000000001e-12,0.5
-1.745,1.3036e-09,2.4822e-09,2.646e-09,2.8082e-09,-2.2500000000000003e-12,1.45e-12,0.5
-1.73,1.3227e-09,2.5372e-09,2.6799e-09,2.886e-09,-6.500000000000002e-13,-1e-12,0.5
-1.715,1.3526e-09,2.5875e-09,2.756e-09,2.9659e-09,-3.2600000000000002e-12,-1.3900000000000001e-12,0.5
-1.7000000000000002,1.383e-09,2.6328e-09,2.8447e-09,3.0305e-09,-9.9e-13,1.4e-12,0.5
