 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-2.0,-9.000000000000001e-13,3.0100000000000007e-12,5.23e-12,4.810000000000001e-12,6.000000000000001e-14,8.500000000000002e-13,0.5
-1.985,1.95e-12,-4e-13,1.65e-12,3.76e-12,3.0000000000000005e-14,-3.600000000000001e-13,0.5
-1.97,-6.000000000000001e-14,3.3700000000000004e-12,4.390000000000001e-12,7.380000000000001e-12,1.8000000000000004e-13,-1.46e-12,0.5
-1.955,3.000000000000001e-13,1.55e-12,2.82e-12,4.140000000000001e-12,-1.0000000000000002e-14,1.3500000000000001e-12,0.5
-1.94,3e-12,2.75e-12,2.8e-12,6.540000000000001e-12,7e-14,-1.7e-13,0.5
-1.925,-5.4e-13,3.86e-12,5.820000000000001e-12,5.810000000000001e-12,-1.1000000000000001e-13,8.400000000000001e-13,0.5
-1.91,1.7100000000000002e-12,1e-13,1.9200000000000003e-12,3.0100000000000007e-12,-8.000000000000001e-14,2.7e-13,0.5
-1.895,3.5e-13,3.3700000000000004e-12,4.610000000000001e-12,7.050000000000001e-12,2e-13,-1.83e-12,0.5
-1.88,2.0000000000000003e-14,1.46e-12,3.4900000000000007e-12,4.43e-12,6.000000000000001e-14,8.100000000000001e-13,0.5
-1.865,3.38e-12,2.29e-12,2.62e-12,6.0600000000000004e-12,-1.1000000000000001e-13,-7e-14,0.5
-1.85,-4.1e-13,4.240000000000001e-12,6.3e-12,5.89e-12,5e-14,1.2000000000000001e-12,0.5
-1.835,1.64e-12,2.5e-13,3.23e-12,3.0300000000000002e-12,1.7e-13,-4.800000000000001e-13,0.5
-1.82,4.9e-13,3.5700000000000007e-12,4.99e-12,7.460000000000003e-12,1e-13,-2.4300000000000003e-12,0.5
-1.805,-2.1000000000000001e-13,2.09e-12,3.3200000000000004e-12,5.470000000000001e-12,-2.0000000000000003e-14,1.32e-12,0.5
-1.79,3.1100000000000007e-12,1.6200000000000004e-12,2.24e-12,6.790000000000001e-12,1.0000000000000002e-14,5.9e-13,0.5
-1.775,3.5e-13,5.160000000000001e-12,6.800000000000001e-12,7.7e-12,1.2000000000000002e-13,1.79e-12,0.5
-1.76,2.1700000000000002e-12,1.23e-12,3.51e-12,4.07e-12,6.000000000000001e-14,5.300000000000002e-13,0.5
-1.745,1.74e-12,3.86e-12,5.010000000000001e-12,7.93e-12,-1.0000000000000002e-14,-1.9900000000000002e-12,0.5
-1.73,-7.3e-13,2.29e-12,4.760000000000001e-12,6.290000000000001e-12,-1.1000000000000001e-13,4.1e-13,0.5
-1.715,3.33e-12,1.95e-12,2.64e-12,7.49e-12,6.000000000000001e-14,-4.7e-13,0.5
-1.7000000000000002,6.400000000000001e-13,5.39e-12,6.780000000000001e-12,9.02e-12,-2.0000000000000003e-14,9.000000000000001e-13,0.5
-1.685,2.14e-12,2.36e-12,4.390000000000001e-12,5.930000000000001e-12,-9e-14,1.59e-12,0.5
-1.6700000000000002,2.3800000000000004e-12,4.17e-12,6.080000000000001e-12,9.21e-12,2.0000000000000003e-14,-2.5600000000000004e-12,0.5
-1.655,-8.7e-13,3e-12,6.170000000000001e-12,8.02e-12,-8.000000000000001e-14,1.1900000000000002e-12,0.5
-1.64,3.680000000000001e-12,1.5e-12,3.690000000000001e-12,8.710000000000001e-12,-6.000000000000001e-14,7.400000000000001e-13,0.5
-1.625,1.03e-12,6.290000000000001e-12,7.870000000000001e-12,1.1760000000000002e-11,7e-14,5.7e-13,0.5
-1.61,2.64e-12,3.43e-12,5.610000000000001e-12,8.370000000000003e-12,2.0000000000000003e-14,1.4e-12,0.5
-1.595,3.5700000000000007e-12,4.960000000000001e-12,7.580000000000001e-12,1.13e-11,2.0000000000000003e-14,-1.6800000000000001e-12,0.5
-1.58,2.1000000000000001e-13,4.48e-12,8.24e-12,1.026e-11,1.2000000000000002e-13,7.800000000000002e-13,0.5
-1.5650000000000002,3.72e-12,2.75e-12,5.07e-12,1.051e-11,1.3e-13,-3.600000000000001e-13,0.5
-1.55,2.0700000000000007e-12,7.25e-12,8.83e-12,1.434e-11,-7e-14,-5.9e-13,0.5
-1.535,3.1200000000000004e-12,5.03e-12,7.44e-12,1.2680000000000002e-11,2.0000000000000003e-14,1.3400000000000003e-12,0.5
-1.52,5.060000000000001e-12,6.36e-12,8.790000000000003e-12,1.433e-11,-2.0000000000000003e-14,-1.0600000000000001e-12,0.5
-1.505,9.200000000000001e-13,6.5e-12,1.1250000000000002e-11,1.402e-11,1.4e-13,5.500000000000001e-13,0.5
-1.49,4.36e-12,4.750000000000001e-12,7.84e-12,1.4110000000000002e-11,-3.0000000000000005e-14,0.0,0.5
-1.475,3.02e-12,9.17e-12,1.141e-11,1.934e-11,5e-14,-7.3e-13,0.5
-1.46,3.3400000000000007e-12,7.3e-12,1.109e-11,1.753e-11,5e-14,1.6600000000000002e-12,0.5
-1.445,6.340000000000001e-12,9.31e-12,1.242e-11,2.042e-11,2.0000000000000003e-14,-4.800000000000001e-13,0.5
-1.4300000000000002,2.79e-12,9.76e-12,1.6360000000000002e-11,2.1280000000000003e-11,1.0000000000000002e-14,1.14e-12,0.5
-1.415,5.54e-12,7.55e-12,1.303e-11,2.16e-11,2.4000000000000004e-13,1.0000000000000002e-14,0.5
-1.4,4.56e-12,1.2070000000000002e-11,1.6140000000000002e-11,2.779e-11,2.0000000000000003e-14,-1.6300000000000001e-12,0.5
-1.385,5.03e-12,1.106e-11,1.639e-11,2.7580000000000003e-11,1.0000000000000002e-14,1.03e-12,0.5
-1.37,8.51e-12,1.303e-11,1.71e-11,3.135e-11,7e-14,-1.6000000000000005e-13,0.5
-1.355,5.150000000000001e-12,1.473e-11,2.2500000000000003e-11,3.3560000000000005e-11,1.3e-13,6.400000000000001e-13,0.5
-1.34,8.02e-12,1.208e-11,2.072e-11,3.386e-11,1.1000000000000001e-13,-3.600000000000001e-13,0.5
-1.325,7.64e-12,1.6850000000000002e-11,2.4520000000000003e-11,4.071e-11,1e-13,-1.59e-12,0.5
-1.31,7.3e-12,1.668e-11,2.528e-11,4.266e-11,8.000000000000001e-14,1.46e-12,0.5
-1.2950000000000002,1.185e-11,1.866e-11,2.7160000000000003e-11,4.901e-11,-5e-14,6.8e-13,0.5
-1.28,9.32e-12,2.2480000000000003e-11,3.3850000000000005e-11,5.3660000000000005e-11,-1.0000000000000002e-14,8e-13,0.5
-1.265,1.243e-11,2.118e-11,3.3770000000000003e-11,5.6070000000000006e-11,8.000000000000001e-14,8.800000000000002e-13,0.5
-1.25,1.27e-11,2.628e-11,3.813e-11,6.731000000000001e-11,2e-13,-3.25e-12,0.5
-1.235,1.233e-11,2.728e-11,4.144e-11,7.224e-11,-9e-14,3.2000000000000005e-13,0.5
-1.22,1.7690000000000002e-11,2.939e-11,4.45e-11,8.030000000000001e-11,1.0000000000000002e-14,4.600000000000002e-13,0.5
-1.205,1.673e-11,3.446e-11,5.285e-11,9.186e-11,4.0000000000000006e-14,1.12e-12,0.5
-1.19,1.952e-11,3.438e-11,5.466e-11,9.847e-11,1.0000000000000002e-14,7.200000000000002e-13,0.5
-1.175,2.11e-11,4.086e-11,6.372e-11,1.1618e-10,-8.000000000000001e-14,-2.08e-12,0.5
-1.16,2.067e-11,4.4560000000000006e-11,6.958000000000001e-11,1.2680000000000002e-10,-8.000000000000001e-14,1.2800000000000002e-12,0.5
-1.145,2.7030000000000003e-11,4.7580000000000005e-11,7.488e-11,1.4337000000000002e-10,-1.3e-13,-1.2000000000000002e-13,0.5
-1.13,2.695e-11,5.611000000000001e-11,8.804e-11,1.6402000000000002e-10,-4.0000000000000006e-14,7.3e-13,0.5
-1.115,3.2400000000000006e-11,5.802e-11,9.532e-11,1.7633000000000003e-10,-9e-14,1.12e-12,0.5
-1.1,3.624e-11,6.68e-11,1.0757e-10,2.0217e-10,8.000000000000001e-14,-1.3900000000000001e-12,0.5
-1.085,3.6950000000000006e-11,7.310000000000001e-11,1.2056000000000002e-10,2.2337000000000003e-10,-2.0000000000000003e-14,6.8e-13,0.5
-1.07,4.629e-11,8.162000000000001e-11,1.3041000000000002e-10,2.5017000000000003e-10,5e-14,4.0000000000000006e-14,0.5
-1.0550000000000002,4.7330000000000006e-11,9.478e-11,1.5223e-10,2.8159e-10,1.6000000000000005e-13,2.300000000000001e-13,0.5
-1.04,5.451000000000001e-11,1.0268e-10,1.6426e-10,3.0788000000000003e-10,-5e-14,1.8700000000000003e-12,0.5
-1.025,6.283e-11,1.1846e-10,1.8865e-10,3.5113e-10,1.3e-13,-1.74e-12,0.5
-1.01,6.483000000000001e-11,1.2909000000000002e-10,2.1329e-10,3.9131e-10,5e-14,1.02e-12,0.5
-0.995,7.837000000000001e-11,1.4502e-10,2.3519000000000004e-10,4.4708e-10,8.000000000000001e-14,7e-14,0.5
-0.98,8.341000000000001e-11,1.6480000000000002e-10,2.6786000000000004e-10,5.1878e-10,7e-14,-1.0100000000000001e-12,0.5
