 VD, forward,V_G = -2.0,V_G = -1.5,V_G = -1.0,V_G = -0.5,V_G = 0.0,V_G = 0.5,V_G = 1.0
0.0,False,3.35e-06,5.100000000000001e-07,1.1e-06,1.838e-05,2.3320000000000004e-05,9.87e-06,7.92e-06
0.015,False,3.2400000000000007e-06,7.270000000000001e-06,0.00012387000000000002,0.0022291,0.0094745,0.012679800000000001,0.012820999999999999
0.03,False,2.7800000000000005e-06,1.3190000000000002e-05,0.00022368,0.004156999999999999,0.019148000000000002,0.0258782,0.026299200000000002
0.045,False,1.8200000000000004e-06,1.7500000000000002e-05,0.00030452,0.0058163,0.0284944,0.039532199999999997,0.040506999999999994
0.06,False,2.0100000000000002e-06,2.1770000000000003e-05,0.00037387,0.0072299,0.038119999999999994,0.05419919999999999,0.05628919999999999
0.075,False,1.7000000000000002e-06,2.53e-05,0.00043096,0.0084057,0.047191399999999994,0.06875099999999999,0.07256
0.09,False,2.4800000000000004e-06,2.775e-05,0.00047357000000000003,0.0093577,0.05621979999999999,0.0838352,0.08927859999999999
0.105,False,2.5000000000000006e-06,2.9770000000000005e-05,0.00050701,0.010276,0.06460239999999999,0.10050959999999999,0.10678
0.12,False,2.8000000000000003e-06,3.107e-05,0.00054168,0.010944,0.07295059999999999,0.11554,0.12433999999999999
0.135,False,3.2000000000000003e-06,3.2630000000000004e-05,0.0005584,0.011493199999999999,0.0805666,0.13082,0.14364000000000002
0.15,False,3.81e-06,3.251e-05,0.00057921,0.012005599999999998,0.0883876,0.14908000000000002,0.16163999999999998
0.165,False,3.5600000000000002e-06,3.235e-05,0.0005985200000000001,0.012435199999999999,0.095663,0.16374,0.18122
0.18,False,4.050000000000001e-06,3.2970000000000005e-05,0.0006054,0.012778000000000001,0.10314,0.17976,0.202
0.195,False,4.190000000000001e-06,3.338e-05,0.00061224,0.013072,0.10968,0.19638,0.22172
0.21,False,3.5000000000000004e-06,3.412e-05,0.0006291500000000001,0.0132782,0.11526,0.21288,0.24250000000000002
0.225,False,4.1000000000000006e-06,3.423e-05,0.00063296,0.013493599999999998,0.1202,0.22876,0.26232
0.24,False,5.14e-06,3.461e-05,0.00064374,0.013666399999999999,0.12506,0.24345999999999998,0.2817
0.255,False,5.460000000000001e-06,3.524000000000001e-05,0.00064959,0.013750199999999999,0.1301,0.25888,0.30012
0.27,False,6.030000000000001e-06,3.516e-05,0.0006502400000000001,0.013778799999999997,0.13364,0.27294,0.31923999999999997
0.285,False,7.01e-06,3.553000000000001e-05,0.0006529000000000001,0.013935000000000001,0.13766,0.28734,0.33702
0.3,False,6.820000000000001e-06,3.468e-05,0.0006504000000000001,0.013975799999999998,0.14118,0.29886,0.35209999999999997
0.315,False,6.9400000000000005e-06,3.443000000000001e-05,0.0006611200000000001,0.0141552,0.14446,0.31212,0.37196
0.33,False,7.06e-06,3.465e-05,0.00065706,0.014151599999999999,0.14744000000000002,0.3242,0.38942
0.345,False,6.71e-06,3.456e-05,0.00066102,0.014246,0.1501,0.33668000000000003,0.40352
0.36,False,5.960000000000001e-06,3.52e-05,0.00066576,0.0143226,0.15246,0.34608,0.41972
0.375,False,6.290000000000001e-06,3.588e-05,0.0006655300000000001,0.014335400000000002,0.15428,0.35796,0.43516
0.39,False,6.4000000000000006e-06,3.566e-05,0.00067273,0.014533599999999997,0.15660000000000002,0.36758,0.45064000000000004
0.405,False,6.2e-06,3.667e-05,0.0006761800000000001,0.0145896,0.15786,0.3773,0.46381999999999995
0.42,False,5.9e-06,3.703e-05,0.00067376,0.014636799999999998,0.1591,0.38592,0.47650000000000003
